snr_db,sigma_step_hz,trial_index,trajectory_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,final_phase_rad,fitted_constant_hz,fitted_linear_coefficient,runtime_seconds
-30.5,0.02,58,2026200558,2026110658,1,K1ABC FN42 33,-30,0,10.140200,0.16650226666371254,0.06683502783537533,0.33248382041307206,8.80281055568151,5.462761470443585,16.683890996687758,5.180882307366519e-13,-0.19098779481725545,-0.22722809951322884,0.2588013360000332
-30.5,0.02,55,2026200555,2026110655,0,,,,,0.1548802598521452,0.06598519443777066,0.2940301902885807,9.804600191765125,6.238788103855479,18.6016711194359,1.3770985220207255e-12,0.24292144617225447,0.08804118632010928,0.5218469380015449
-30.5,0.02,56,2026200556,2026110656,0,,,,,0.1830798202033531,0.06785914422327555,0.34812104893478757,9.397140955051016,5.543741032328218,17.48263152272608,-1.0411940407073494e-12,-0.03426780009918411,0.00309421800148248,0.5414446920003684
-30.5,0.02,57,2026200557,2026110657,0,,,,,0.11098373091164866,0.04598012564502683,0.21152257644126832,6.282333352435348,2.9579822397586537,10.808548377385122,9.38793964441742e-13,0.1578610734254583,0.11788679172623118,0.5292334659989137
-30.5,0.02,61,2026200561,2026110661,1,K1ABC FN42 33,-30,0,10.140200,0.15632315674473332,0.061990268850830074,0.28595240903997265,8.20339442505452,3.8611972880336487,13.248310465996727,-1.163374951929086e-13,0.11168563911155893,0.16586047022998687,0.21161236199986888
-30.5,0.02,59,2026200559,2026110659,1,K1ABC FN42 33,-31,0,10.140200,0.22840245770980708,0.09655186255034552,0.3922907083945447,15.05224627715727,9.39875232823712,27.594627529457952,-1.0456913113188193e-13,0.08995530525527867,0.058272057269756615,0.33747586800018325
-30.5,0.02,60,2026200560,2026110660,1,K1ABC FN42 33,-30,0,10.140200,0.20800399371333655,0.07344040205031242,0.3711352756065409,9.854983982945907,5.5339588274896006,17.2103252010244,3.309635551729251e-13,-0.18782839925257738,-0.14289788609985873,0.2854795589992136
-30.5,0.02,64,2026200564,2026110664,1,K1ABC FN42 33,-31,0,10.140200,0.25141523927998244,0.10248741226857873,0.42460897766704164,13.055759241581303,6.916632745320772,22.64206162176026,-1.7421199031975032e-13,-0.05869311252039688,-0.24599921469185293,0.05819956999948772
-30.5,0.02,62,2026200562,2026110662,1,K1ABC FN42 33,-30,0,10.140200,0.24395064844763745,0.10606949078424645,0.42040883945395413,16.96643079612476,10.806936628137343,30.038451542590142,2.66914702146126e-12,-0.181181071719457,-0.055360247981850096,0.29274291900037497
-30.5,0.02,66,2026200566,2026110666,1,K1ABC FN42 33,-31,0,10.140200,0.12926204412222697,0.05118086176666889,0.21455378761175659,5.765080730365749,3.2042172939710833,11.309507581600954,-8.245124418285177e-14,-0.07794513915286805,-0.05099864871798551,0.08718215500084625
-30.5,0.02,63,2026200563,2026110663,0,,,,,0.14065878750211228,0.0576640512422792,0.250544685568026,8.467087432469599,5.312881141452859,16.393252729945814,-2.958963369464884e-13,-0.13892973294639813,-0.0810610283235588,0.4383926159989642
-30.5,0.02,67,2026200567,2026110667,1,K1ABC FN42 33,-30,0,10.140200,0.22122116921449092,0.07107730812498382,0.3544825744084054,10.477706666277655,5.37995874159331,17.542966500945532,-7.685579603289305e-13,-0.25706358233322946,-0.2375968173217826,0.3208362469995336
-30.5,0.02,69,2026200569,2026110669,1,K1ABC FN42 33,-31,0,10.140200,0.22620597697827527,0.09891095407546492,0.38202494569759865,15.047511168375468,7.469758006696694,25.253956415784877,-1.0019970964059155e-12,0.19488329577246336,0.1282569219202601,0.15058012200097437
-30.5,0.02,68,2026200568,2026110668,0,,,,,0.09747277892463951,0.03804198999753027,0.18643512060604261,3.618904102458366,1.6384301280836677,6.414204747867036,2.79044474159329e-13,-0.08057488802426588,-0.15746300643788558,0.5224599840003066
-30.5,0.02,65,2026200565,2026110665,1,K1ABC FN42 33,-30,0,10.140200,0.16791022520266402,0.06783041323930587,0.2787644895280845,10.200324752085507,6.703530225001095,19.332922976374718,-9.10777963464282e-13,-0.1230179013113022,0.012901029191988952,0.7253246870004659
-30.5,0.02,70,2026200570,2026110670,0,,,,,0.2803096119360513,0.12622654023512078,0.48621906456998226,20.742473202441403,12.734001617319667,37.36286980329802,-2.5000661263430146e-13,0.0739359856762799,0.04402173572566848,0.4974864539999544
-30.5,0.02,72,2026200572,2026110672,1,K1ABC FN42 33,-31,0,10.140200,0.2832728975870127,0.12109901130551584,0.5003653360931033,19.162415800047537,12.775409431604889,36.02647141988537,-4.770073225301985e-13,0.24248195885011523,-0.04079093873689745,0.2897064999997383
-30.5,0.02,73,2026200573,2026110673,1,K1ABC FN42 33,-30,0,10.140200,0.18803082897348078,0.06624048131001298,0.2806968569086692,9.710672430718942,5.611167050777332,18.24389756069054,-1.1761305904883779e-12,-0.07294906044158835,-0.0888727738476367,0.2428433530003531
