source_dataset,trajectory_family,trajectory_id,trajectory_identity,snr_db,seed,trajectory_seed,noise_seed,trial_index,decoded_success,max_abs_frequency_hz,frequency_rms_hz,max_abs_phase_rad,phase_rms_rad,first_difference_rms_hz,total_variation_hz,second_difference_rms_hz,normalized_first_difference_rms,normalized_second_difference_rms,snr_c
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100252,,2026100252,52,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100254,,2026100254,54,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100249,,2026100249,49,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100251,,2026100251,51,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100255,,2026100255,55,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100256,,2026100256,56,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100253,,2026100253,53,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100257,,2026100257,57,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100258,,2026100258,58,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100260,,2026100260,60,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
deterministic,quadratic_positive,quadratic_+0.25,quadratic_+0.25,-30.0,2026100261,,2026100261,61,1,0.25,0.11389320212674342,17.029404296106982,12.211251911416575,0.00541255436581782,0.7546583850931678,0.00011645962732919277,0.04752306779288358,0.0010225336117918027,0.5
