message,callsign,grid,power,condition,snr_db,linear_drift_hz,quadratic_residual_hz,trial_index,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,runtime_seconds
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,47,2026112047,1,F5ABC JN18 40,-31,0,0.23243639999998322
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,45,2026112045,0,,,,0.47685387299998183
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,48,2026112048,1,F5ABC JN18 40,-31,0,0.0721586479999985
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,51,2026112051,1,F5ABC JN18 40,-29,0,0.05544522300002086
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,50,2026112050,1,F5ABC JN18 40,-30,0,0.06961347300000398
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,54,2026112054,1,F5ABC JN18 40,-30,0,0.0566054720000011
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,49,2026112049,1,F5ABC JN18 40,-31,0,0.1513447289999874
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,56,2026112056,1,F5ABC JN18 40,-30,0,0.06736293599999499
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,52,2026112052,0,,,,0.5131884369999966
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,57,2026112057,1,F5ABC JN18 40,-30,0,0.33161458099999663
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,53,2026112053,0,,,,0.4974126490000117
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,55,2026112055,0,,,,0.49932213100001377
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,60,2026112060,1,F5ABC JN18 40,-30,0,0.0994583949999992
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,62,2026112062,1,F5ABC JN18 40,-30,0,0.04381811900000798
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,58,2026112058,1,F5ABC JN18 40,-30,0,0.24184106199999178
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,59,2026112059,0,,,,0.5029550589999872
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,61,2026112061,0,,,,0.509985979000021
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,63,2026112063,0,,,,0.4882733589999759
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,64,2026112064,0,,,,0.48163581399998634
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,65,2026112065,1,F5ABC JN18 40,-31,0,0.2750467879999974
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,69,2026112069,0,,,,0.03971023899998727
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,66,2026112066,1,F5ABC JN18 40,-30,0,0.2926803710000172
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,68,2026112068,1,F5ABC JN18 40,-30,0,0.23224238099999184
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,67,2026112067,0,,,,0.4910491150000098
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,70,2026112070,0,,,,0.48296704000000545
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,74,2026112074,1,F5ABC JN18 40,-30,0,0.05257302100000061
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,73,2026112073,1,F5ABC JN18 40,-30,0,0.22709686199999624
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,71,2026112071,0,,,,0.4866284050000047
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,72,2026112072,0,,,,0.4862619410000093
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,75,2026112075,1,F5ABC JN18 40,-30,0,0.2477940449999778
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,79,2026112079,1,F5ABC JN18 40,-30,0,0.23704679400000828
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,77,2026112077,0,,,,0.5077615659999992
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,76,2026112076,0,,,,0.5243501879999997
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,78,2026112078,0,,,,0.508941295999989
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,82,2026112082,1,F5ABC JN18 40,-30,0,0.06620227100000875
F5ABC JN18 40,F5ABC,JN18,40,linear_drift,-30.5,0.5,0.0,83,2026112083,1,F5ABC JN18 40,-30,0,0.049177434999990055
