noise_family,carrier_frequency_hz,target_sigma_y_1s,realized_sigma_y_1s,snr_db,trial_index,oscillator_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,raw_frequency_rms_hz,raw_max_abs_frequency_hz,residual_frequency_rms_hz,residual_max_abs_frequency_hz,residual_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,fitted_constant_hz,fitted_linear_coefficient,dot_with_constant,dot_with_x,runtime_seconds
white_FM,10000000.0,1e-09,1.04164259515527e-09,-30.5,21,2026102021,2026101121,1,K1ABC FN42 33,-30,0,10.140200,0.010172380977208425,0.028575261981512595,0.010030835278092213,0.030847505028033545,0.05403706789035204,0.4394793501162741,0.14909263256326943,0.7565755756547694,-0.0015415093699517118,-0.001233113079210589,8.326672684688674e-17,-1.5619318404970277e-17,0.07189415100037877
white_FM,10000000.0,1e-09,1.0955184969077986e-09,-30.5,19,2026102019,2026101119,0,,,,,0.010723169205869644,0.03429024631113458,0.010677550096310225,0.03525166156486831,0.05803712642109497,0.39690891497205805,0.15088984737968325,0.6993973203327686,-0.0009866365273014505,7.566382070316067e-05,1.3877787807814457e-17,-1.1132281695761478e-17,0.5487528699995892
white_FM,10000000.0,1e-09,1.0382841549506749e-09,-31.0,22,2026102022,2026111122,1,K1ABC FN42 33,-30,0,10.140200,0.009950967746141877,0.02836446911488068,0.009892089459254757,0.02878150399487245,0.051456608145271365,0.48237632236159894,0.1854783259007716,0.8440469005333622,0.000292769704920229,-0.001796692855558502,5.204170427930421e-18,6.721659993408069e-17,0.09850741199988988
white_FM,10000000.0,1e-09,1.0382841549506749e-09,-30.5,22,2026102022,2026101122,1,K1ABC FN42 33,-30,0,10.140200,0.009950967746141877,0.02836446911488068,0.009892089459254757,0.02878150399487245,0.051456608145271365,0.48237632236159894,0.1854783259007716,0.8440469005333622,0.000292769704920229,-0.001796692855558502,5.204170427930421e-18,6.721659993408069e-17,0.21776613800102496
white_FM,10000000.0,1e-09,1.04164259515527e-09,-31.0,21,2026102021,2026111121,1,K1ABC FN42 33,-31,0,10.140200,0.010172380977208425,0.028575261981512595,0.010030835278092213,0.030847505028033545,0.05403706789035204,0.4394793501162741,0.14909263256326943,0.7565755756547694,-0.0015415093699517118,-0.001233113079210589,8.326672684688674e-17,-1.5619318404970277e-17,0.25192684800094867
white_FM,10000000.0,1e-09,1.1280272292914178e-09,-30.5,23,2026102023,2026101123,1,K1ABC FN42 33,-30,0,10.140200,0.01051694616849053,0.02675903551209863,0.010447452120145447,0.028129809348609112,0.05307104343727939,0.33995420924008074,0.14943449726597482,0.6606185397927736,-0.0011633074625287982,-0.000579475044569527,5.4643789493269423e-17,1.0072041804683461e-17,0.2471390890004841
white_FM,10000000.0,1e-09,1.1280272292914178e-09,-31.0,23,2026102023,2026111123,1,K1ABC FN42 33,-30,0,10.140200,0.01051694616849053,0.02675903551209863,0.010447452120145447,0.028129809348609112,0.05307104343727939,0.33995420924008074,0.14943449726597482,0.6606185397927736,-0.0011633074625287982,-0.000579475044569527,5.4643789493269423e-17,1.0072041804683461e-17,0.19506079100028728
white_FM,10000000.0,1e-09,8.29804595595119e-10,-31.0,24,2026102024,2026111124,1,K1ABC FN42 33,-30,0,10.140200,0.008775240884666465,0.0327174104553197,0.008675780916964712,0.031237204307121666,0.06043922317139581,0.2920843687963792,0.12351495203726555,0.5712151059278234,-0.0008507868891968062,-0.00175803310272757,2.42861286636753e-17,3.6008032088412995e-17,0.22839668300002813
white_FM,10000000.0,1e-09,8.872358506844523e-10,-31.0,25,2026102025,2026111125,1,K1ABC FN42 33,-30,0,10.140200,0.008654202476629198,0.02571387345493588,0.008652879862807213,0.025551873230249354,0.048489473751140245,0.3967143419332277,0.17729249487335944,0.761443468205983,0.00015001981345983756,-3.130365514069677e-05,6.938893903907228e-18,4.8095596592606244e-18,0.18472144100087462
white_FM,10000000.0,1e-09,8.872358506844523e-10,-30.5,25,2026102025,2026101125,1,K1ABC FN42 33,-30,0,10.140200,0.008654202476629198,0.02571387345493588,0.008652879862807213,0.025551873230249354,0.048489473751140245,0.3967143419332277,0.17729249487335944,0.761443468205983,0.00015001981345983756,-3.130365514069677e-05,6.938893903907228e-18,4.8095596592606244e-18,0.2540248609984701
white_FM,10000000.0,1e-09,8.29804595595119e-10,-30.5,24,2026102024,2026101124,0,,,,,0.008775240884666465,0.0327174104553197,0.008675780916964712,0.031237204307121666,0.06043922317139581,0.2920843687963792,0.12351495203726555,0.5712151059278234,-0.0008507868891968062,-0.00175803310272757,2.42861286636753e-17,3.6008032088412995e-17,0.4969369549999101
white_FM,10000000.0,1e-09,9.77959594879821e-10,-30.5,26,2026102026,2026101126,1,K1ABC FN42 33,-30,0,10.140200,0.00953554720286805,0.0259724840412063,0.009376869380161069,0.027408238783056503,0.04805942834295473,0.4788874459103937,0.16667916615043354,0.8121224721773759,-0.0005564811575084932,0.0028310720675097283,1.3877787807814457e-17,-3.271090463588131e-17,0.2810663839991321
white_FM,10000000.0,1e-09,9.021452986825696e-10,-30.5,27,2026102027,2026101127,1,K1ABC FN42 33,-31,0,10.140200,0.009019831195233547,0.02922205140656196,0.008932273096005486,0.031134002519777836,0.04987453094468474,0.29789033195715586,0.1009947036009849,0.5554280504549198,-0.0003875543098090611,0.0020579356845992006,1.474514954580286e-17,-5.6924787825637594e-18,0.24841198099966277
white_FM,10000000.0,1e-09,9.974649788780865e-10,-31.0,28,2026102028,2026111128,1,K1ABC FN42 33,-31,0,10.140200,0.009010404977249115,0.025520281014004147,0.008954951032557414,0.025931127448052853,0.04539661521305005,0.3257230099992326,0.1282424215307751,0.6510322924789038,0.00015841824844983315,-0.0017038902527923834,-2.0816681711721685e-17,9.694529720554325e-18,0.057721932000276865
white_FM,10000000.0,1e-09,9.021452986825696e-10,-31.0,27,2026102027,2026111127,1,K1ABC FN42 33,-31,0,10.140200,0.009019831195233547,0.02922205140656196,0.008932273096005486,0.031134002519777836,0.04987453094468474,0.29789033195715586,0.1009947036009849,0.5554280504549198,-0.0003875543098090611,0.0020579356845992006,1.474514954580286e-17,-5.6924787825637594e-18,0.24556338000002143
white_FM,10000000.0,1e-09,9.974649788780865e-10,-30.5,28,2026102028,2026101128,1,K1ABC FN42 33,-30,0,10.140200,0.009010404977249115,0.025520281014004147,0.008954951032557414,0.025931127448052853,0.04539661521305005,0.3257230099992326,0.1282424215307751,0.6510322924789038,0.00015841824844983315,-0.0017038902527923834,-2.0816681711721685e-17,9.694529720554325e-18,0.24269128500054649
white_FM,10000000.0,1e-09,9.77959594879821e-10,-31.0,26,2026102026,2026111126,0,,,,,0.00953554720286805,0.0259724840412063,0.009376869380161069,0.027408238783056503,0.04805942834295473,0.4788874459103937,0.16667916615043354,0.8121224721773759,-0.0005564811575084932,0.0028310720675097283,1.3877787807814457e-17,-3.271090463588131e-17,0.5169762679997802
white_FM,10000000.0,1e-09,1.0935719108326454e-09,-31.0,30,2026102030,2026111130,1,K1ABC FN42 33,-31,0,10.140200,0.010605709018139705,0.025191493488481334,0.01056226374302374,0.025038443766447916,0.04844440515038473,0.3524424404772944,0.13907952592358538,0.6133804449233472,0.0005400236635312513,-0.0013625982084429224,-2.7755575615628914e-17,5.174382750378907e-18,0.24928680300035921
white_FM,10000000.0,1e-09,1.0935719108326454e-09,-30.5,30,2026102030,2026101130,1,K1ABC FN42 33,-31,0,10.140200,0.010605709018139705,0.025191493488481334,0.01056226374302374,0.025038443766447916,0.04844440515038473,0.3524424404772944,0.13907952592358538,0.6133804449233472,0.0005400236635312513,-0.0013625982084429224,-2.7755575615628914e-17,5.174382750378907e-18,0.34982268800013117
