replicate,bDA,status,iterations,error
438,7.9171089425445045,success,5,
439,8.1446991091713,success,4,
440,7.533428187166366,success,4,
441,8.25703468960806,success,5,
442,7.183798217945999,success,4,
443,8.223603406519173,success,4,
444,7.328447585162594,success,4,
445,7.053716869102092,success,4,
446,7.883603236824063,success,4,
447,8.15858997395371,success,5,
448,7.632845178440809,success,4,
449,7.238360755851355,success,5,
450,7.672799391486941,success,4,
451,7.882622669636689,success,4,
452,7.41732421597324,success,5,
453,7.993534453501976,success,4,
454,7.312409712860496,success,4,
455,6.798992737524823,success,4,
456,7.026101350375702,success,4,
457,6.847568433949573,success,5,
458,8.26117158286732,success,4,
459,7.902482788754449,success,4,
460,7.96635922168191,success,4,
461,6.98710896345896,success,4,
462,8.49899361108128,success,4,
463,7.375506261005112,success,4,
464,7.199903714698069,success,4,
465,7.153077702442788,success,4,
466,8.904473668477387,success,5,
467,8.201843179341985,success,4,
468,7.346426748202928,success,5,
469,7.652645921572702,success,4,
470,7.290438660919148,success,4,
471,8.045074788642207,success,4,
472,8.000933834663885,success,4,
473,7.073320748457715,success,4,
474,6.8725235174358525,success,4,
475,7.489809515291952,success,4,
476,8.041202808002266,success,4,
477,7.7050128524766635,success,4,
478,8.232571190551772,success,5,
479,7.224862458462624,success,4,
480,8.38158467543888,success,4,
481,7.717185575319156,success,4,
482,7.6776791973305265,success,4,
483,8.235636474098566,success,5,
484,6.877491948995428,success,4,
485,7.348285332351723,success,4,
486,8.430259361182301,success,5,
487,7.9280929725427445,success,4,
488,7.154949964149226,success,4,
489,7.301421915656077,success,4,
490,6.958653787630211,success,4,
491,7.878303859230218,success,4,
492,7.579079279307954,success,4,
493,7.481621273581677,success,5,
494,7.949068301780688,success,4,
495,7.044511816222758,success,4,
496,7.377828342588613,success,4,
497,7.599583809435025,success,4,
498,7.303186715197098,success,4,
499,7.8121571201859945,success,4,
500,7.096419988775433,success,4,
501,7.703582314380978,success,4,
502,7.032013015043561,success,5,
503,7.2639182707932735,success,4,
504,8.255904324222023,success,4,
505,6.767508935134444,success,4,
506,7.72731967537442,success,4,
507,7.341757208583201,success,4,
508,7.841409880174359,success,5,
509,7.294403237267361,success,4,
510,8.817627028969458,success,4,
511,6.850165012525128,success,4,
512,7.627946953505069,success,5,
513,7.415873363258228,success,5,
514,6.898188467256591,success,5,
515,6.5911149669108555,success,5,
516,7.474291135390688,success,4,
517,7.2851929910400965,success,4,
518,6.688606958246808,success,5,
519,7.389100443729166,success,4,
520,8.350325358085872,success,4,
521,7.716714268003922,success,4,
522,7.309346576108241,success,4,
523,7.507761460975407,success,4,
524,7.227852946702009,success,4,
525,8.508340168176264,success,5,
526,7.258774325146542,success,4,
527,6.503452004070306,success,5,
528,7.865709000306056,success,4,
529,8.28451770970034,success,4,
530,7.7034271607340035,success,4,
531,7.7989873946094015,success,4,
532,7.726107106354519,success,4,
533,7.987950786735112,success,4,
534,7.137802903066124,success,5,
535,7.844657546785569,success,4,
536,8.4064129666299,success,4,
537,8.092507373458552,success,5,
538,7.285791789850681,success,4,
539,7.497819218241289,success,4,
540,8.068336135503191,success,4,
541,8.254788607423613,success,4,
542,8.495290881713817,success,4,
543,6.969679180286561,success,4,
544,7.206543523080993,success,5,
545,6.936979767420762,success,4,
546,7.926458343786539,success,4,
547,7.381360196006803,success,4,
548,8.618730836734994,success,4,
549,6.90600860933749,success,4,
550,6.898248162016092,success,4,
551,7.4241141652438065,success,5,
552,8.948747513794125,success,5,
553,8.222249757531705,success,4,
554,7.361571114054407,success,4,
555,7.86027680279781,success,4,
556,7.811832467598788,success,4,
557,8.620218790201285,success,4,
558,6.444433344907187,success,5,
559,8.117286263832781,success,4,
560,8.104466676951175,success,4,
561,8.854634278503093,success,5,
562,7.397011536510598,success,4,
563,7.051353496592472,success,5,
564,6.736159975641224,success,4,
565,7.148554115371791,success,4,
566,6.402648022306845,success,5,
567,7.673836602996945,success,4,
568,6.535832753977381,success,4,
569,7.2443955749949716,success,4,
570,7.580470711633191,success,5,
571,7.245751041730297,success,4,
572,7.503643045883704,success,4,
573,7.11704284245483,success,4,
574,6.922337041378498,success,5,
575,6.292804235753095,success,5,
576,6.848075986147871,success,4,
577,7.050711382198663,success,4,
578,7.057197315298223,success,5,
579,7.580464687813428,success,4,
