source_dataset,snr_db,abs_linear_drift_hz,A_res_hz,decoded_success,seed,trial_index,cluster_id,snr_c,in_primary_support
linear_drift_boundary,-29.5,0.0,0.0,1,2026092740,140,linear_drift_boundary|-29.5|2026092740,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092741,141,linear_drift_boundary|-29.5|2026092741,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092737,137,linear_drift_boundary|-29.5|2026092737,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092739,139,linear_drift_boundary|-29.5|2026092739,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092743,143,linear_drift_boundary|-29.5|2026092743,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092738,138,linear_drift_boundary|-29.5|2026092738,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092744,144,linear_drift_boundary|-29.5|2026092744,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092745,145,linear_drift_boundary|-29.5|2026092745,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092748,148,linear_drift_boundary|-29.5|2026092748,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092747,147,linear_drift_boundary|-29.5|2026092747,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092742,142,linear_drift_boundary|-29.5|2026092742,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092749,149,linear_drift_boundary|-29.5|2026092749,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092752,152,linear_drift_boundary|-29.5|2026092752,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092746,146,linear_drift_boundary|-29.5|2026092746,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092753,153,linear_drift_boundary|-29.5|2026092753,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092754,154,linear_drift_boundary|-29.5|2026092754,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092750,150,linear_drift_boundary|-29.5|2026092750,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092751,151,linear_drift_boundary|-29.5|2026092751,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092756,156,linear_drift_boundary|-29.5|2026092756,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092757,157,linear_drift_boundary|-29.5|2026092757,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092758,158,linear_drift_boundary|-29.5|2026092758,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092759,159,linear_drift_boundary|-29.5|2026092759,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092760,160,linear_drift_boundary|-29.5|2026092760,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092763,163,linear_drift_boundary|-29.5|2026092763,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092762,162,linear_drift_boundary|-29.5|2026092762,0.75,True
