snr_db,linear_drift_hz,A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.0,0.0,175,2026093175,1,K1ABC FN42 33,-30,0,10.140200,0.05282920700028626
-30.0,0.0,0.0,170,2026093170,1,K1ABC FN42 33,-30,0,10.140200,0.3639951210006984
-30.0,0.0,0.0,177,2026093177,1,K1ABC FN42 33,-29,0,10.140200,0.08685485900059575
-30.0,0.0,0.0,172,2026093172,1,K1ABC FN42 33,-29,0,10.140200,0.34525266800028476
-30.0,0.0,0.0,176,2026093176,1,K1ABC FN42 33,-30,0,10.140200,0.28552019100061443
-30.0,0.0,0.0,178,2026093178,1,K1ABC FN42 33,-29,0,10.140200,0.2586658520003766
-30.0,0.0,0.0,179,2026093179,1,K1ABC FN42 33,-30,0,10.140200,0.3759516580003037
-30.0,0.0,0.0,180,2026093180,1,K1ABC FN42 33,-30,0,10.140200,0.39054837799994857
-30.0,0.0,0.0,181,2026093181,1,K1ABC FN42 33,-30,0,10.140200,0.30407886899956793
-30.0,0.0,0.0,184,2026093184,1,K1ABC FN42 33,-29,0,10.140200,0.051493161000507826
-30.0,0.0,0.0,183,2026093183,1,K1ABC FN42 33,-30,0,10.140200,0.12097733799964772
-30.0,0.0,0.0,185,2026093185,1,K1ABC FN42 33,-29,0,10.140200,0.08746887799952674
-30.0,0.0,0.0,182,2026093182,1,K1ABC FN42 33,-30,0,10.140200,0.35586346999934904
-30.0,0.0,0.0,188,2026093188,1,K1ABC FN42 33,-30,0,10.140200,0.05724882800041087
-30.0,0.0,0.0,187,2026093187,1,K1ABC FN42 33,-29,0,10.140200,0.10129601200060279
-30.0,0.0,0.0,190,2026093190,1,K1ABC FN42 33,-30,0,10.140200,0.06249586099966109
-30.0,0.0,0.0,186,2026093186,1,K1ABC FN42 33,-29,0,10.140200,0.2722053830002551
-30.0,0.0,0.0,191,2026093191,1,K1ABC FN42 33,-30,0,10.140200,0.24578020300032222
-30.0,0.0,0.0,189,2026093189,1,K1ABC FN42 33,-31,0,10.140200,0.26924556599988136
-30.0,0.0,0.0,195,2026093195,1,K1ABC FN42 33,-30,0,10.140200,0.04805675599982351
-30.0,0.0,0.0,192,2026093192,1,K1ABC FN42 33,-30,0,10.140200,0.25264811600027315
-30.0,0.0,0.0,196,2026093196,1,K1ABC FN42 33,-30,0,10.140200,0.08993609800018021
-30.0,0.0,0.0,193,2026093193,1,K1ABC FN42 33,-31,0,10.140200,0.3536603090005883
-30.0,0.0,0.0,194,2026093194,1,K1ABC FN42 33,-32,0,10.140200,0.2573305719997734
-30.0,0.0,0.0,199,2026093199,1,K1ABC FN42 33,-30,0,10.140200,0.0859907829999429
-30.0,0.0,0.0,197,2026093197,1,K1ABC FN42 33,-31,0,10.140200,0.2583116060004613
-30.0,0.0,0.25,1,2026093001,1,K1ABC FN42 33,-29,0,10.140200,0.07045294900035515
-30.0,0.0,0.25,2,2026093002,1,K1ABC FN42 33,-29,0,10.140200,0.07549599400044826
-30.0,0.0,0.0,198,2026093198,1,K1ABC FN42 33,-30,0,10.140200,0.2535372490001464
-30.0,0.0,0.25,3,2026093003,1,K1ABC FN42 33,-29,0,10.140200,0.05977679900024668
-30.0,0.0,0.25,0,2026093000,1,K1ABC FN42 33,-30,0,10.140200,0.252908397000283
-30.0,0.0,0.25,5,2026093005,1,K1ABC FN42 33,-30,0,10.140200,0.12035622999974294
-30.0,0.0,0.25,4,2026093004,1,K1ABC FN42 33,-29,0,10.140200,0.1394849680000334
-30.0,0.0,0.25,6,2026093006,1,K1ABC FN42 33,-30,0,10.140200,0.2573457580001559
-30.0,0.0,0.25,7,2026093007,1,K1ABC FN42 33,-30,0,10.140200,0.22994658300012816
-30.0,0.0,0.25,8,2026093008,1,K1ABC FN42 33,-30,0,10.140200,0.22917466399940167
-30.0,0.0,0.25,12,2026093012,1,K1ABC FN42 33,-31,0,10.140200,0.05636249899998802
-30.0,0.0,0.25,9,2026093009,1,K1ABC FN42 33,-29,0,10.140200,0.2735418900001605
-30.0,0.0,0.25,14,2026093014,1,K1ABC FN42 33,-30,0,10.140200,0.04590044500037038
-30.0,0.0,0.25,13,2026093013,1,K1ABC FN42 33,-30,0,10.140200,0.07809144600014406
-30.0,0.0,0.25,15,2026093015,1,K1ABC FN42 33,-30,0,10.140200,0.09546655299982376
-30.0,0.0,0.25,17,2026093017,1,K1ABC FN42 33,-30,0,10.140200,0.06295018899982097
-30.0,0.0,0.25,11,2026093011,1,K1ABC FN42 33,-29,0,10.140200,0.3385249920002025
-30.0,0.0,0.25,16,2026093016,1,K1ABC FN42 33,-29,0,10.140200,0.2500517270000273
-30.0,0.0,0.25,10,2026093010,0,,,,,0.5320637739996528
-30.0,0.0,0.25,18,2026093018,1,K1ABC FN42 33,-30,0,10.140200,0.29774330199961696
-30.0,0.0,0.25,19,2026093019,1,K1ABC FN42 33,-31,0,10.140200,0.27729477000048064
-30.0,0.0,0.25,20,2026093020,1,K1ABC FN42 33,-29,0,10.140200,0.253784944000472
-30.0,0.0,0.25,23,2026093023,1,K1ABC FN42 33,-30,0,10.140200,0.05413676799980749
-30.0,0.0,0.25,24,2026093024,1,K1ABC FN42 33,-30,0,10.140200,0.06903691200022877
-30.0,0.0,0.25,21,2026093021,1,K1ABC FN42 33,-30,0,10.140200,0.28959495300023264
-30.0,0.0,0.25,22,2026093022,1,K1ABC FN42 33,-30,0,10.140200,0.26080159100001765
-30.0,0.0,0.25,27,2026093027,1,K1ABC FN42 33,-30,0,10.140200,0.06540371500068431
-30.0,0.0,0.25,28,2026093028,1,K1ABC FN42 33,-29,0,10.140200,0.09153006699943944
-30.0,0.0,0.25,25,2026093025,1,K1ABC FN42 33,-29,0,10.140200,0.2678416720000314
-30.0,0.0,0.25,29,2026093029,1,K1ABC FN42 33,-30,0,10.140200,0.09698536199994123
-30.0,0.0,0.25,30,2026093030,1,K1ABC FN42 33,-30,0,10.140200,0.06258919399988372
-30.0,0.0,0.25,32,2026093032,1,K1ABC FN42 33,-30,0,10.140200,0.24522706100015057
-30.0,0.0,0.25,31,2026093031,1,K1ABC FN42 33,-31,0,10.140200,0.2635851790000743
-30.0,0.0,0.25,33,2026093033,1,K1ABC FN42 33,-30,0,10.140200,0.25405847799993353
-30.0,0.0,0.25,35,2026093035,1,K1ABC FN42 33,-29,0,10.140200,0.05105502800051909
-30.0,0.0,0.25,26,2026093026,0,,,,,0.5345914669997001
-30.0,0.0,0.25,36,2026093036,1,K1ABC FN42 33,-30,0,10.140200,0.04541569499997422
-30.0,0.0,0.25,39,2026093039,1,K1ABC FN42 33,-30,0,10.140200,0.06447826099974918
-30.0,0.0,0.25,34,2026093034,1,K1ABC FN42 33,-30,0,10.140200,0.24291682700004458
-30.0,0.0,0.25,41,2026093041,1,K1ABC FN42 33,-30,0,10.140200,0.07275059299990971
-30.0,0.0,0.25,38,2026093038,1,K1ABC FN42 33,-29,0,10.140200,0.2718658610001512
-30.0,0.0,0.25,37,2026093037,0,,,,,0.520814132999476
