trajectory_id,family,snr_db,trial_index,seed,decoded_success,tau_seconds,signed_A_res_hz,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,final_phase_rad,phase_peak_to_peak_rad,correlation_with_negative_quadratic,cosine_similarity_with_negative_quadratic,RMS_shape_difference,max_shape_difference
quadratic_+0.25,quadratic,-30.0,39,2026100239,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,40,2026100240,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,38,2026100238,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,37,2026100237,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,41,2026100241,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,43,2026100243,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,46,2026100246,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,47,2026100247,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,42,2026100242,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,48,2026100248,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
quadratic_+0.25,quadratic,-30.0,44,2026100244,1,,0.25,0.25,0.11389320212674342,0.3773291925465839,17.029404296106982,12.211251911416575,1.2417289418920063e-12,34.05880859221272,-1.0,-1.0,0.9111456170139474,2.0
