snr_db,signed_A_res_hz,abs_A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,-0.25,0.25,43,2026100243,1,K1ABC FN42 33,-29,0,10.140200,0.08578338600000279
-30.0,-0.25,0.25,45,2026100245,1,K1ABC FN42 33,-29,0,10.140200,0.04541084399988904
-30.0,-0.25,0.25,38,2026100238,1,K1ABC FN42 33,-29,0,10.140200,0.2508903790003387
-30.0,-0.25,0.25,47,2026100247,1,K1ABC FN42 33,-31,0,10.140200,0.26304489399990416
-30.0,-0.25,0.25,49,2026100249,1,K1ABC FN42 33,-31,0,10.140200,0.058660794000388705
-30.0,-0.25,0.25,48,2026100248,1,K1ABC FN42 33,-30,0,10.140200,0.31934086799992656
-30.0,-0.25,0.25,50,2026100250,1,K1ABC FN42 33,-29,0,10.140200,0.05633553500047128
-30.0,-0.25,0.25,52,2026100252,1,K1ABC FN42 33,-31,0,10.140200,0.05058022499997605
-30.0,-0.25,0.25,51,2026100251,1,K1ABC FN42 33,-30,0,10.140200,0.0805668559996775
-30.0,-0.25,0.25,44,2026100244,0,,,,,0.5289476739999373
-30.0,-0.25,0.25,53,2026100253,1,K1ABC FN42 33,-30,0,10.140200,0.05056619300012244
-30.0,-0.25,0.25,46,2026100246,0,,,,,0.5251438909999706
-30.0,-0.25,0.25,54,2026100254,1,K1ABC FN42 33,-30,0,10.140200,0.06061164700076915
-30.0,-0.25,0.25,56,2026100256,1,K1ABC FN42 33,-29,0,10.140200,0.04116541799976403
-30.0,-0.25,0.25,57,2026100257,1,K1ABC FN42 33,-30,0,10.140200,0.05025316000046587
-30.0,-0.25,0.25,60,2026100260,1,K1ABC FN42 33,-30,0,10.140200,0.04917259500052751
-30.0,-0.25,0.25,58,2026100258,1,K1ABC FN42 33,-29,0,10.140200,0.27024765700025455
-30.0,-0.25,0.25,61,2026100261,1,K1ABC FN42 33,-30,0,10.140200,0.2635630980003043
-30.0,-0.25,0.25,63,2026100263,1,K1ABC FN42 33,-30,0,10.140200,0.057728087000214146
-30.0,-0.25,0.25,55,2026100255,0,,,,,0.4985644319995117
-30.0,-0.25,0.25,62,2026100262,1,K1ABC FN42 33,-30,0,10.140200,0.23451011100041796
-30.0,-0.25,0.25,65,2026100265,1,K1ABC FN42 33,-29,0,10.140200,0.04384908700012602
-30.0,-0.25,0.25,59,2026100259,0,,,,,0.48504609600058757
-30.0,-0.25,0.25,66,2026100266,1,K1ABC FN42 33,-29,0,10.140200,0.05263537599967094
-30.0,-0.25,0.25,68,2026100268,1,K1ABC FN42 33,-29,0,10.140200,0.051556115000494174
-30.0,-0.25,0.25,69,2026100269,1,K1ABC FN42 33,-29,0,10.140200,0.0541230019998693
-30.0,-0.25,0.25,70,2026100270,1,K1ABC FN42 33,-30,0,10.140200,0.04575671099973988
-30.0,-0.25,0.25,64,2026100264,1,K1ABC FN42 33,-30,0,10.140200,0.33009545000004437
-30.0,-0.25,0.25,67,2026100267,1,K1ABC FN42 33,-30,0,10.140200,0.2759285809997891
-30.0,-0.25,0.25,72,2026100272,1,K1ABC FN42 33,-29,0,10.140200,0.26959931700002926
-30.0,-0.25,0.25,75,2026100275,1,K1ABC FN42 33,-29,0,10.140200,0.05098870700021507
-30.0,-0.25,0.25,73,2026100273,1,K1ABC FN42 33,-29,0,10.140200,0.24514154699954815
-30.0,-0.25,0.25,74,2026100274,1,K1ABC FN42 33,-31,0,10.140200,0.3318174580008417
-30.0,-0.25,0.25,71,2026100271,0,,,,,0.5106542020002962
-30.0,-0.25,0.25,77,2026100277,1,K1ABC FN42 33,-30,0,10.140200,0.2510028920005425
