trajectory_id,noise_type,f_carrier_hz,sigma_y_ref,trajectory_index,seed,tau_seconds,allan_deviation
random_walk_FM_t0368_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,368,2026301367,1,1.0029790935768843e-09
random_walk_FM_t0368_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,368,2026301367,2,1.245575023299318e-09
random_walk_FM_t0368_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,368,2026301367,4,1.626884969423313e-09
random_walk_FM_t0368_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,368,2026301367,8,2.0947408118478096e-09
random_walk_FM_t0368_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,368,2026301367,16,2.9430315478948047e-09
random_walk_FM_t0368_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,368,2026301367,32,3.1678344277495512e-09
random_walk_FM_t0369_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,369,2026301368,1,1.0507866941439548e-09
random_walk_FM_t0369_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,369,2026301368,2,1.2731251389222488e-09
random_walk_FM_t0369_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,369,2026301368,4,1.5337254214801292e-09
random_walk_FM_t0369_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,369,2026301368,8,2.5041371947198335e-09
random_walk_FM_t0369_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,369,2026301368,16,3.766399787944589e-09
random_walk_FM_t0369_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,369,2026301368,32,2.349631180756273e-09
random_walk_FM_t0370_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,370,2026301369,1,1.027912982144106e-09
random_walk_FM_t0370_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,370,2026301369,2,1.2448416652425479e-09
random_walk_FM_t0370_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,370,2026301369,4,1.7530557391594265e-09
random_walk_FM_t0370_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,370,2026301369,8,2.3567427941857e-09
random_walk_FM_t0370_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,370,2026301369,16,3.7448390332275265e-09
random_walk_FM_t0370_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,370,2026301369,32,5.9975224239845e-09
random_walk_FM_t0371_f7000000_s1e-09,random_walk_FM,7000000.0,1e-09,371,2026301370,1,1.0813483121023832e-09
