noise_type,f_carrier_hz,sigma_y_ref,n,descriptor,mean,std,median,p05,p25,p75,p95
white_FM,10000000.0,3e-10,500,residual_max_abs_frequency_hz,0.008264422479759457,0.0011968315954110343,0.008110326410714873,0.006642628729353156,0.0073871229601778,0.008960078871593618,0.01040328225572719
white_FM,10000000.0,3e-10,500,residual_peak_to_peak_hz,0.015215250470581197,0.0018102657891893288,0.015087833512070556,0.0125724080036881,0.013896869818872613,0.016341981577447255,0.018484515026643143
white_FM,10000000.0,3e-10,500,max_abs_phase_rad,0.12064262236005133,0.029589226671652688,0.11774521991267055,0.07754645253532434,0.10008899926408171,0.13818516084482457,0.17436225956610593
white_FM,10000000.0,3e-10,500,phase_rms_rad,0.050576675673836724,0.015207242116906067,0.04843211174375407,0.03018564472347201,0.04027742373934134,0.058251248981693926,0.07911425932432409
white_FM,10000000.0,3e-10,500,fitted_constant_hz,-1.1810552134588023e-05,0.0003267888434859897,-5.712332423408383e-06,-0.0005435630782417082,-0.0002267244370748262,0.0001969192285385416,0.000507689961243207
white_FM,10000000.0,3e-10,500,fitted_linear_coefficient,-1.897949000633872e-05,0.000508974482144751,-8.462088026021073e-06,-0.000886208442866733,-0.0003702676646052585,0.00037468253279181413,0.0007548981559291826
white_FM,10000000.0,1e-09,500,frequency_rms_hz,0.009971528872555587,0.0007153598573683928,0.009931807290386441,0.008857602234365342,0.009485419875136084,0.010437655672981008,0.011155785530386837
white_FM,10000000.0,1e-09,500,max_abs_frequency_hz,0.027802643352230802,0.0038788989690913957,0.02739634231047547,0.022228016890814977,0.024966333702093946,0.0300336846411402,0.03504837510639792
white_FM,10000000.0,1e-09,500,peak_to_peak_hz,0.050953077556773876,0.006005535918503556,0.05049411605475907,0.042089140371220204,0.04669747323374482,0.05474776022940177,0.06210998528751848
white_FM,10000000.0,1e-09,500,residual_frequency_rms_hz,0.009863778521247056,0.0007097035582423628,0.009803180019627378,0.008784572867992743,0.009396431569692231,0.01032846188761885,0.011096838396361497
white_FM,10000000.0,1e-09,500,residual_max_abs_frequency_hz,0.027548074932531526,0.0039894386513701155,0.027034421369049582,0.022142095764510525,0.024623743200592674,0.029866929571978732,0.03467760751909064
white_FM,10000000.0,1e-09,500,residual_peak_to_peak_hz,0.050717501568603995,0.006034219297297764,0.050292778373568534,0.04190802667896034,0.046322899396242054,0.05447327192482419,0.06161505008881049
white_FM,10000000.0,1e-09,500,max_abs_phase_rad,0.4021420745335045,0.09863075557217565,0.39248406637556876,0.25848817511774796,0.333629997546939,0.4606172028160823,0.5812075318870197
