experiment,trial_id,seed,message,snr_db,no_noise,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_linear,173,2026092694,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.17341184399992926,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,172,2026092693,K1ABC FN42 33,-31.0,False,linear,,2.0,,,1,K1ABC FN42 33,-31,10.140200,2,0,0.06113358800030255,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -31  0.0  10.140200  2  K1ABC FN42 33 
<DecodeFinished>",
frequency_linear,171,2026092692,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.15436944399880304,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,170,2026092691,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.07103759499841544,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,169,2026092690,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.04182504699929268,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,168,2026092689,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14197806299853255,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,167,2026092688,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.14069909499994537,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,166,2026092687,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.12893386500036286,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,165,2026092686,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1361396379998041,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,164,2026092685,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.06051392399967881,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,163,2026092684,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.037394271999801276,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,162,2026092683,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.1329498009999952,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
frequency_linear,161,2026092682,K1ABC FN42 33,-31.0,False,linear,,2.0,,,0,,,,,0,0.12901843700092286,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,<DecodeFinished>,
