replicate,mean_brier_amp_minus_phase
701,0.004661710758780819
702,0.007399558682343905
703,0.005999753768257675
704,0.006087016560143105
705,0.0047245883891500595
706,0.005260611012329377
707,0.008116505572598222
708,0.0038808147549667282
709,0.007616761713107928
710,0.005821205753453614
711,0.006467987416376931
712,0.006513341105986686
713,0.007016158775871232
714,0.007396661095985863
715,0.0048187079068994325
716,0.005109063538950638
717,0.006314771395961006
718,0.00611467319813729
719,0.005609826907632907
720,0.007126227976767705
721,0.005897002817068835
722,0.004175253950140228
723,0.0068259583554075905
724,0.007311563372069441
725,0.006288760061044035
726,0.004744380517324472
727,0.006168142783806816
728,0.007981682205048274
729,0.005655268426682463
730,0.00765363204107814
731,0.004539594304025845
732,0.0050790030035579746
733,0.004826085593549994
734,0.005684242585314323
735,0.005183804904141993
736,0.00646376771247994
737,0.004465444333058766
738,0.005230371792016492
739,0.006257997248885103
740,0.006563881451087468
741,0.004750002842236608
742,0.007734548537159102
743,0.006076070692430447
744,0.006519589677543929
745,0.007001062839701272
746,0.005608084897032789
747,0.002784933090556855
748,0.009060248562272508
749,0.0050722132662215785
750,0.007044415907716638
751,0.006035247184110489
752,0.004892295774939063
753,0.006511372486958167
754,0.0058006308037311495
755,0.00767707766676493
756,0.006536392017478361
757,0.005014532963129171
758,0.005335171820042928
759,0.009586494482673444
760,0.007126041320569424
761,0.005270640639343592
762,0.005343196525507227
763,0.0078102591047871745
764,0.006416341024765759
765,0.006230260195922527
766,0.005930624869846231
767,0.005658043476582731
768,0.006751992928396638
769,0.005053277640208476
770,0.006005885076728688
771,0.006161556903395507
772,0.0072663772270149755
773,0.005802791257471743
774,0.006707027567994191
775,0.007786643082016778
776,0.008598051650215812
777,0.0051550462721242085
778,0.0048793358256083285
779,0.006082520771934652
780,0.006071194885612514
781,0.005928273100768652
782,0.007742317825025215
783,0.0068310501324082545
784,0.004817286680221557
785,0.005391984064219732
786,0.0066781149420449114
787,0.005937601540122034
788,0.004110823632772845
789,0.005640922911065743
790,0.007239540481859524
791,0.005407350695230579
792,0.004935518094330677
793,0.00716550963251322
794,0.006210214960089493
795,0.004568873195468594
796,0.006019508286346066
797,0.0057718314586483075
798,0.00479310047170357
799,0.004875324507527466
800,0.005889610576298063
801,0.00737580021582755
802,0.00700076882385687
803,0.00722460085214501
804,0.0063788905965467034
805,0.007549416141694694
806,0.0050015056334499295
807,0.004817936112289218
808,0.007477308689824393
809,0.005741584512760985
810,0.004846580329285952
811,0.006570907993862461
812,0.0060448890474764545
813,0.008848193353977955
814,0.007707986242513172
815,0.00622501483027719
816,0.006458444018873106
817,0.0037513403372476765
818,0.005750214674576889
819,0.005851327479743249
820,0.007305349969241327
821,0.008498706683538061
822,0.0052043662608571494
823,0.006173532884009854
824,0.007834167742569287
825,0.007695160780837696
826,0.004647520806050657
827,0.00621824663720077
828,0.004311775579247443
829,0.0070186943357495556
830,0.00492906762981176
831,0.005986081369635135
832,0.005234161374775745
833,0.006355077790624985
834,0.0072486924161779855
835,0.006339100023335491
836,0.0037213005348806535
837,0.004787208622291354
838,0.00561713199003987
839,0.005618820465394813
840,0.006124778363651318
841,0.00756198432718206
842,0.00452530854603897
843,0.009953138012545553
844,0.002890490791105106
845,0.004701680429959173
846,0.005040073261101645
847,0.0065072842588928675
848,0.0070459216926036985
849,0.004102817082059255
850,0.005474715525219252
851,0.0059057231683813
852,0.006229807755377955
853,0.004868557044240123
854,0.00659831969357208
855,0.006630124012117526
856,0.0065756510516793085
857,0.00657332300009238
858,0.006443891005265639
859,0.005527565301384516
860,0.005275738625367612
861,0.004285927865870234
862,0.004746851833996436
863,0.003707086444430398
864,0.007516870186030173
865,0.007459765340180303
866,0.006347504934543426
867,0.007123305922089433
868,0.008036764451662494
869,0.0052076956548773295
870,0.006263009338348045
871,0.006464777693960679
872,0.005615610077835797
873,0.006630118015941261
874,0.0038546141976605447
875,0.003877566591469564
876,0.006656050873296893
877,0.005506872574423264
878,0.006960914254860296
879,0.006962315335645324
880,0.004871907863230827
881,0.004903015207697617
882,0.005650867926763847
883,0.004863314842740004
884,0.0062353609878935
885,0.004567131570178835
886,0.005175271321600415
887,0.006651085217061566
888,0.005961567775621667
889,0.006615791111601421
890,0.00544806523966456
891,0.005552491689072405
892,0.006695487604734779
893,0.008110595626160797
894,0.0061866747996233065
895,0.005538037898223486
896,0.006714119956262145
897,0.005484647943785357
898,0.006825952451010544
899,0.005847197106750628
900,0.007161445426600252
901,0.006696738288256553
902,0.006374630238244701
903,0.005422598545570087
904,0.006272990745129688
905,0.006374944384634061
906,0.004430851487804136
907,0.005319525343021238
908,0.0053008444152455045
909,0.006609113512186564
910,0.005770493165244616
911,0.0071738539266736675
912,0.00502064989519554
913,0.005248823264921602
